Source,Target,Type,Kind,Id,Label,timeset,Weight
@thehatlessgirl,@itsmalbert,Directed,Mention,0,,<[2021-05-20T19:24:05.616Z]>,1
@thehatlessgirl,@itsmalbert,Directed,Retweet,1,,<[2021-05-20T19:24:05.671Z]>,1
@bbcbabyz,@eurovision,Directed,Mention,2,,<[2021-05-20T19:24:05.715Z]>,1
@bbcbabyz,@eurovision,Directed,Retweet,3,,<[2021-05-20T19:24:05.715Z]>,1
@_ghost_of_mars,@twidade_iucks,Directed,Mention,4,,<[2021-05-20T19:24:06.040Z]>,1
@_ghost_of_mars,@thisismaneskin,Directed,Quote,5,,<[2021-05-20T19:24:06.041Z]>,1
@_ghost_of_mars,@twidade_iucks,Directed,Retweet,6,,<[2021-05-20T19:24:06.041Z]>,1
@twidade_iucks,@thisismaneskin,Directed,Quote,7,,<[2021-05-20T19:24:06.041Z]>,1
@moo1231m,@escsaku,Directed,Mention,8,,<[2021-05-20T19:24:06.073Z]>,1
@moo1231m,@escsaku,Directed,Retweet,9,,<[2021-05-20T19:24:06.074Z]>,1
@marcos_0902,@canalmira,Directed,Mention,10,,<[2021-05-20T19:24:06.076Z]>,1
@marcos_0902,@canalmira,Directed,Retweet,11,,<[2021-05-20T19:24:06.077Z]>,1
@lutherhrgrvsbf,@kathrynyo,Directed,Mention,12,,<[2021-05-20T19:24:06.209Z]>,1
@lutherhrgrvsbf,@kathrynyo,Directed,Retweet,13,,<[2021-05-20T19:24:06.212Z]>,1
@mamarracheo2,@rodri_vicper,Directed,Mention,14,,<[2021-05-20T19:24:06.333Z]>,1
@mamarracheo2,@rodri_vicper,Directed,Retweet,15,,<[2021-05-20T19:24:06.336Z]>,1
@eeldwr,@opetalex,Directed,Mention,16,,<[2021-05-20T19:24:06.407Z]>,1
@eeldwr,@opetalex,Directed,Retweet,17,,<[2021-05-20T19:24:06.408Z]>,1
@riku_lupin,@itsmalbert,Directed,Mention,18,,<[2021-05-20T19:24:06.416Z]>,1
@riku_lupin,@itsmalbert,Directed,Retweet,19,,<[2021-05-20T19:24:06.417Z]>,1
@scaledandsoda,@eurovision,Directed,Mention,20,,"<[2021-05-20T19:24:06.435Z, 2021-05-20T19:24:09.753Z]>",2
@scaledandsoda,@eurovision,Directed,Retweet,21,,"<[2021-05-20T19:24:06.436Z, 2021-05-20T19:24:09.754Z]>",2
@nik_karani,@victorabadf1,Directed,Mention,22,,<[2021-05-20T19:24:06.451Z]>,1
@nik_karani,@victorabadf1,Directed,Retweet,23,,<[2021-05-20T19:24:06.452Z]>,1
@itssangokghost,@medinath_,Directed,Mention,24,,<[2021-05-20T19:24:06.503Z]>,1
@itssangokghost,@medinath_,Directed,Retweet,25,,<[2021-05-20T19:24:06.503Z]>,1
@setssuka,@itsmalbert,Directed,Mention,26,,<[2021-05-20T19:24:06.584Z]>,1
@setssuka,@itsmalbert,Directed,Retweet,27,,<[2021-05-20T19:24:06.585Z]>,1
@_sommer,@eurovision,Directed,Mention,28,,<[2021-05-20T19:24:06.622Z]>,1
@_sommer,@eurovision,Directed,Retweet,29,,<[2021-05-20T19:24:06.623Z]>,1
@depouvrefebe,@lievenscheire,Directed,Mention,30,,<[2021-05-20T19:24:06.675Z]>,1
@depouvrefebe,@lievenscheire,Directed,Retweet,31,,<[2021-05-20T19:24:06.676Z]>,1
@astraydoll,@lievenscheire,Directed,Mention,32,,<[2021-05-20T19:24:06.724Z]>,1
@astraydoll,@lievenscheire,Directed,Retweet,33,,<[2021-05-20T19:24:06.725Z]>,1
@suushier,@eurovisiondrink,Directed,Mention,34,,"<[2021-05-20T19:24:07.070Z, 2021-05-20T19:26:31.223Z, 2021-05-20T19:27:22.249Z]>",4
@suushier,@eurovision,Directed,Quote,35,,<[2021-05-20T19:24:07.072Z]>,1
@yellowacebts,@singularkth,Directed,Mention,36,,<[2021-05-20T19:24:07.143Z]>,1
@erwinho84,@nikkietutorials,Directed,Mention,37,,<[2021-05-20T19:24:07.215Z]>,1
